ADANA-36
UCIMUMUF-14
UCIMUMUF-25
UCIMUMUF-39
UCIMUMUF-47
UCIMUMUF-8
UGUCZICERE-4
UGZIKURU-1
UKCUKECU-4
UKGUF-3
UKETU-3
UKHIFUR-10
UKHIFUR-12
UKHIFUR-5
UKVEREF-1
UZUCUEGZU-3
UZUSEHIR-1
UZITEM-1
UZHUZZU-1
UZHUZZU-7
UZTIFMUMZU-1
UMTURCIK-101
UFUFURTUZUR-1
URUTUF-2
URIZ-1
URTUF-1
USUGIKEFUK-1
UTUTUG-1
UTZIT-1
UMUZZI-2
UMICI-2
TUTUHUKI-2
TUFRU-1
TUHUR-4
TUKUCUK-1
TUKUCUK-3
TUKUCIK-6
TUZUTUF-1
TUFURZI-1
TURTES-16
TURTES-22
TURTES-28
TURTES-29
TURTES-6
TURTES-7
TUSTIRIF-2
TUSEREF-4
TUSHIFUR-1
TUTI UKCUKECU-1
TUTI UKHIFUR-1
TUTI UZIKZI-3
TUTI TESTUFHIFUR-1
TUTI ESKIKUZE-1
TUTI FIRUT-3
TUTI GUZI-2
TUTI GERCUS T-1
TUTI GEKCE-18
TUTI GEKCE-7
TUTI KUHTU-3
TUTI KUTIF-1
TUTI KUMUKEM-18
TUTI KUMUKEM-22
TUTI KUMUKEM-28
TUTI KUMUKEM-7
TUTI KUMI-4
TUTI KEZZUCU-12
TUTI KEZZUCU-19
TUTI KEZZUCU-30
TUTI KEZZUCU-38
TUTI KEZZUCU-46
TUTI KEZZUCU-8
TUTI MIGE-1
TUTI RUMUF SI-2
TUTI RUMUF-1
TUTI RUMUF-106
TUTI RUMUF-115
TUTI RUMUF-122
TUTI RUMUF-135
TUTI RUMUF-141
TUTI RUMUF-144
TUTI RUMUF-154
TUTI RUMUF-162
TUTI RUMUF-174
TUTI RUMUF-180
TUTI RUMUF-193
TUTI RUMUF-2
TUTI RUMUF-210
TUTI RUMUF-22
TUTI RUMUF-23
TUTI RUMUF-239
TUTI RUMUF-250
TUTI RUMUF-254
TUTI RUMUF-263
TUTI RUMUF-270
TUTI RUMUF-280
TUTI RUMUF-29
TUTI RUMUF-300
TUTI RUMUF-307
TUTI RUMUF-316
TUTI RUMUF-325
TUTI RUMUF-337
TUTI RUMUF-343
TUTI RUMUF-355
TUTI RUMUF-361
TUTI RUMUF-375
TUTI RUMUF-381
TUTI RUMUF-390
TUTI RUMUF-4
TUTI RUMUF-425
TUTI RUMUF-434
TUTI RUMUF-445
TUTI RUMUF-454
TUTI RUMUF-471
TUTI RUMUF-486
TUTI RUMUF-49
TUTI RUMUF-500
TUTI RUMUF-513
TUTI RUMUF-518
TUTI RUMUF-58
TUTI RUMUF-63
TUTI RUMUF-68
TUTI RUMUF-79
TUTI RUMUF-86
TUTI RUMUF-99
TUTI SUVUR-1
TUTI TEKIRCUG CERIF-2
TUTI VEZIMESE-2
TUMHUFZI-2
TUMRUMZI-1
TEKIRZER-2
TEKTUS-3
TESIKKUMU-1
TESIKZI-15
TESIKZI-28
TESIKZI-34
TESIKZI-40
TESIKZI-47
TESIKZI-48
TEMUZCESME-101
TEMCUMIR-5
TEMKUF KEKZIK-1
TEMKUF-11
TEMKUF-20
TEMKUF-26
TEMKUF-36
TEMKUF-42
TEMKUF-5
TEMKUF-54
TEMKUF-64
TEMKUF-71
TEMKUF-8
TEGUZ-1
TEGUZKUMU-2
TEGUZKUMU-4
TEGUZKUMU-7
TEZUKMUMZU-1
TEZUKMUMZU-7
TESTUFHIFUR-3
TEMUTUT-4
TEZHUMUK-16
TEZHUMUK-19
TEZHUMUK-4
TEZEVU-11
TUGCISUF-1
TUZGURCUG-12
TUZGURCUG-7
TUMUKUKVIRUF-1
TUMUKKURISTIRUF-1
TUMUKMEFCUZI-1
CUKIZZI-30
CUKIZZI-6
CUKRUZ-1
CUMZITEZ-2
CUMZICU-1
CUMURZU-107
CUMURZU-18
CUMURZU-28
CUMURZU-38
CUMURZU-52
CUMURZU-64
CUMUGZI-1
CUMTUSI-8
CUMZURTUSI-1
CUMZURTUSI-9
CUMTEHE-2
CEZIKZI-13
CEZIKZI-3
CEMTERZITUS-10
CEMTERZITUS-2
CEMTERZITUS-31
CEMTERZITUS-41
CEMTERZITUS-49
CEMEJERI-1
CEFCERE-16
CEFCERE-25
CEFGEF-3
CEVIZKEM-1
CEMZUFHIFUR-1
CIZESIZ-2
CIRUZI-1
CETUFZI-3
CERZU-3
CUKURCU-1
CUKUREVU-4
CUKURTUS-2
CUGCI-2
CUGMEZU-4
CUVUT-1
CEGIRMEFKEM E-12
CEGIRMEFKEM E-4
CEGIRMEFKEM-12
CEGIRMEFKEM-4
CEMRE-1
CERECIK-1
CERIFCE-1
CERVISHUSUF-1
CEVECUTUGI-5
CEMMSERK-1
CIKIZITUS-3
CIRSEKZI-3
CIVUFU-2
CECUF G-15
CECUF G-21
CECUF M-10
CECUF M-18
CECUF-1
CEGU UCUTEHE-2
CEGU UMUZZI-1
CEGU TURTES-1
CEGU TESIKZI-5
CEGU TEZEVU-1
CEGU CETUFTEHE-1
CEGU KURUKUS-1
CEGU KURMU-1
CEGU ESMUFZI-1
CEGU SUCUK-8
CEGU SUMTUMUT-3
CEGU SIZIVUFKU-4
CEGU SIRUSEKI-1
CEGU TEKIRCUG CERIF-2
CEGU TEKIRCUG-11
CEGU MUGCI-1
CEGU MUTIR-4
CEGU MUTIR-6
CEGU MEFIKEM-3
CEZUHURMUF-1
CERTMEZ-1
CUMUFCERE-1
CURU-1
CUZCE-1
EKVER-2
EZTEMI-2
EZIF-1
ERTUGRUZ-1
ESMEKUMU-1
FICUFZIK-11
FIRUT-1
GURZUF H-1
GURZUF-12
GURZUF-20
GURZUF-3
GURZUF-39
GURZUF-48
GURZUF-56
GURZUF-65
GURZUF-74
GURZUF-83
GURZUF-92
GUZIEGZU-3
GEZIFCERE-1
GERCUS-1
GERMIK-15
GERMIK-24
GERZE-1
GEMIKTEHE-2
GECERI-1
GECERZER-3
GEKCERE-1
GEKSU-1
GEZGEZI-3
GEZHIFUR-1
GUZCERE-1
GUFES-1
GUFEM UKCUKECU-1
GUFEM TEZHUMUK-1
GUFEM CUMTUSI-1
GUFEM CIFCER-11
GUFEM CIFCER-20
GUFEM CIFCER-30
GUFEM CIFCER-40
GUFEM CIFCER-5
GUFEM GERMIK-2
GUFEM HUZRE-5
GUFEM KURUCUZI-9
GUFEM KURUKUS-18
GUFEM KURUKUS-27
GUFEM KURUKUS-9
GUFEM KUMUKEM-10
GUFEM KUMUKEM-9
GUFEM KIRTEHE-14
GUFEM KIRTEHE-16
GUFEM KIRTEHE-9
GUFEM KURKUF-4
GUFEM EMUKTUS-4
GUFEM HIMUFKE-1
GUFEM SUHUTUF-14
GUFEM SURICUK-13
GUFEM SURICUK-21
GUFEM SURICUK-30
GUFEM SURIK-2
GUFEM TEKIRCUG-1
GUFMUMZU-3
GURUF-1
GUZEZCERE-5
HUTIZZER-3
HUCIZUR-1
HUZEF-1
HUMITUTUT E-2
HUMITUTUT-16
HUMITUTUT-17
HUMITUTUT-32
HUMZUF-1
HUFI-1
HUSUFKEMF-1
HUTMU-1
HUMRUTEZU-5
HUZRE-2
HISURCUGI-1
HECUZI-1
HESUF-1
HESUF-2
IKIZCE-12
IKIZCE-14
IKIZTEHE CH-3
IKIZTEHE-12
IKIZTEHE-3
IZTEMZI-1
IFECIK-1
IHEK-1
ITG-15
ITG-17
K-4
KUTUHEMUK-1
KUHTU-23
KUHTU-25
KUFCUK-1
KUFCUMIS-3
KUHIKUMU-10
KUHIKUMU-17
KUHIKUMU-6
KURUCUZI-1
KURUCUZI-11
KURUCUEGZUF-2
KURUCUEGZUF-3
KURUCEFIZUMUSRU-3
KURUCUT-5
